fold,train_start,train_end,test_start,test_end,train_samples,test_samples,auc,brier,ece
0,2020-07-29,2022-07-29,2022-07-29,2022-10-27,2062,156,0.9996505329372707,0.01108305525226311,0.018870301609126852
0,2020-10-27,2022-10-27,2022-10-27,2023-01-25,1922,247,0.9914850686037128,0.028178040212958375,0.024982012131238275
0,2021-01-25,2023-01-25,2023-01-25,2023-04-25,1848,246,0.9967805151175813,0.028692988315671505,0.02643014107216782
0,2021-04-25,2023-04-25,2023-04-25,2023-07-24,1820,306,0.9762993762993764,0.037527735655522164,0.02006964627906172
0,2021-07-24,2023-07-24,2023-07-24,2023-10-22,1821,198,0.998520501620403,0.014102348751502947,0.03149918518059933
0,2021-10-22,2023-10-22,2023-10-22,2024-01-20,1791,275,0.9886237205162438,0.031372522735252525,0.02283412162016994
0,2022-01-20,2024-01-20,2024-01-20,2024-04-19,1721,302,0.9791369942501451,0.04124513006986757,0.03323407205132931
0,2022-04-20,2024-04-19,2024-04-19,2024-07-18,1881,264,0.9737289679888235,0.04979519475676093,0.022652659946223626
0,2022-07-19,2024-07-18,2024-07-18,2024-10-16,2026,278,0.9845070422535211,0.030166964186781928,0.013285614113828212
0,2022-10-17,2024-10-16,2024-10-16,2025-01-14,2140,250,0.9850285714285715,0.028608481866886425,0.004211391989506522
0,2023-01-15,2025-01-14,2025-01-14,2025-04-14,2149,166,0.9962484035759898,0.03422835758457434,0.03506854895162306
0,2023-04-15,2025-04-14,2025-04-14,2025-07-13,2073,236,0.9816590563165906,0.054666462886365966,0.04804214280870661
0,2023-07-14,2025-07-13,2025-07-13,2025-10-11,2022,400,0.98576802507837,0.04075817065411757,0.02412284823797985
0,2023-10-12,2025-10-11,2025-10-11,2026-01-09,2193,279,0.9848782886648635,0.02954781839277565,0.024077729786749037
