ticker,side,entry_price,tp_price,sl_price,max_hold_days,asof_date
AA,BUY,0.0,0.0,0.0,2,2025-12-01
AAPL,BUY,0.0,0.0,0.0,2,2025-12-01
ABBV,BUY,0.0,0.0,0.0,2,2025-12-01
ADYEY,BUY,0.0,0.0,0.0,2,2025-12-01
AEP,BUY,0.0,0.0,0.0,2,2025-12-01
ALB,BUY,0.0,0.0,0.0,2,2025-12-01
AMT,BUY,0.0,0.0,0.0,2,2025-12-01
AMZN,BUY,0.0,0.0,0.0,2,2025-12-01
ARM,BUY,0.0,0.0,0.0,2,2025-12-01
ASML,BUY,0.0,0.0,0.0,2,2025-12-01
AVGO,BUY,0.0,0.0,0.0,2,2025-12-01
AZN,BUY,0.0,0.0,0.0,2,2025-12-01
BA,BUY,0.0,0.0,0.0,2,2025-12-01
BAC,BUY,0.0,0.0,0.0,2,2025-12-01
BLK,BUY,0.0,0.0,0.0,2,2025-12-01
AA,BUY,0.0,0.0,0.0,2,2025-12-02
AAPL,BUY,0.0,0.0,0.0,2,2025-12-02
ABBV,BUY,0.0,0.0,0.0,2,2025-12-02
ADYEY,BUY,0.0,0.0,0.0,2,2025-12-02
AEP,BUY,0.0,0.0,0.0,2,2025-12-02
ALB,BUY,0.0,0.0,0.0,2,2025-12-02
AMT,BUY,0.0,0.0,0.0,2,2025-12-02
AMZN,BUY,0.0,0.0,0.0,2,2025-12-02
ARM,BUY,0.0,0.0,0.0,2,2025-12-02
ASML,BUY,0.0,0.0,0.0,2,2025-12-02
AVGO,BUY,0.0,0.0,0.0,2,2025-12-02
AZN,BUY,0.0,0.0,0.0,2,2025-12-02
BA,BUY,0.0,0.0,0.0,2,2025-12-02
BAC,BUY,0.0,0.0,0.0,2,2025-12-02
BLK,BUY,0.0,0.0,0.0,2,2025-12-02
AA,BUY,0.0,0.0,0.0,2,2025-12-03
AAPL,BUY,0.0,0.0,0.0,2,2025-12-03
ABBV,BUY,0.0,0.0,0.0,2,2025-12-03
ADYEY,BUY,0.0,0.0,0.0,2,2025-12-03
AEP,BUY,0.0,0.0,0.0,2,2025-12-03
ALB,BUY,0.0,0.0,0.0,2,2025-12-03
AMT,BUY,0.0,0.0,0.0,2,2025-12-03
AMZN,BUY,0.0,0.0,0.0,2,2025-12-03
ARM,BUY,0.0,0.0,0.0,2,2025-12-03
ASML,BUY,0.0,0.0,0.0,2,2025-12-03
AVGO,BUY,0.0,0.0,0.0,2,2025-12-03
AZN,BUY,0.0,0.0,0.0,2,2025-12-03
BA,BUY,0.0,0.0,0.0,2,2025-12-03
BAC,BUY,0.0,0.0,0.0,2,2025-12-03
BLK,BUY,0.0,0.0,0.0,2,2025-12-03
AA,BUY,0.0,0.0,0.0,2,2025-12-04
AAPL,BUY,0.0,0.0,0.0,2,2025-12-04
ABBV,BUY,0.0,0.0,0.0,2,2025-12-04
ADYEY,BUY,0.0,0.0,0.0,2,2025-12-04
AEP,BUY,0.0,0.0,0.0,2,2025-12-04
