ticker,score,momentum,volatility,trend,price,asof_date
AA,,,0.0,DN,,2025-12-01
AAPL,,,0.06887477918387515,DN,,2025-12-01
ABBV,,,0.0,DN,,2025-12-01
ADYEY,,,0.0,DN,,2025-12-01
AEP,,,0.0,DN,,2025-12-01
ALB,,,0.0,DN,,2025-12-01
AMT,,,0.0,DN,,2025-12-01
AMZN,,,0.0,DN,,2025-12-01
ARM,,,0.0,DN,,2025-12-01
ASML,,,0.0,DN,,2025-12-01
AVGO,,,0.0,DN,,2025-12-01
AZN,,,0.0,DN,,2025-12-01
BA,,,0.0,DN,,2025-12-01
BAC,,,0.0,DN,,2025-12-01
BLK,,,0.0,DN,,2025-12-01
CAT,,,0.0,DN,,2025-12-01
CF,,,0.0,DN,,2025-12-01
CHTR,,,0.0,DN,,2025-12-01
CI,,,0.0,DN,,2025-12-01
CL,,,0.0,DN,,2025-12-01
CLF,,,0.0,DN,,2025-12-01
CMCSA,,,0.0,DN,,2025-12-01
CME,,,0.0,DN,,2025-12-01
COP,,,0.0,DN,,2025-12-01
COST,,,0.0,DN,,2025-12-01
CVS,,,0.0,DN,,2025-12-01
CVX,,,0.0,DN,,2025-12-01
DIS,,,0.0,DN,,2025-12-01
DUK,,,0.0,DN,,2025-12-01
EOG,,,0.017339208558150406,DN,,2025-12-01
EVRG,,,0.008883499914199147,DN,,2025-12-01
EXC,,,0.06872626944144504,DN,,2025-12-01
FCX,,,0.046601007936136266,DN,,2025-12-01
FOX,,,0.022578024845810528,DN,,2025-12-01
FOXA,,,0.15049712185931352,DN,,2025-12-01
GD,,,0.17219943722185355,DN,,2025-12-01
GE,,,0.03482102039487437,DN,,2025-12-01
GEVO,,,0.20752351505388902,DN,,2025-12-01
GOOG,,,0.0,DN,,2025-12-01
GOOGL,,,0.07354866272741588,DN,,2025-12-01
GS,,,0.027818226475323,DN,,2025-12-01
HAL,,,0.07521666997686888,DN,,2025-12-01
HCA,,,0.06379789188375165,DN,,2025-12-01
HD,,,0.14575830680018295,DN,,2025-12-01
HON,,,0.0,DN,,2025-12-01
ICE,,,0.0,DN,,2025-12-01
JNJ,,,0.0,DN,,2025-12-01
JPM,,,0.0,DN,,2025-12-01
KMB,,,0.0,DN,,2025-12-01
KO,,,0.0,DN,,2025-12-01
LLY,,,0.0,DN,,2025-12-01
LMT,,,0.0,DN,,2025-12-01
LVS,,,0.0,DN,,2025-12-01
MAR,,,0.0,DN,,2025-12-01
MCD,,,0.0,DN,,2025-12-01
META,,,0.0,DN,,2025-12-01
MGM,,,0.0,DN,,2025-12-01
MMM,,,0.0,DN,,2025-12-01
MO,,,0.0,DN,,2025-12-01
MPC,,,0.0,DN,,2025-12-01
MRK,,,0.0,DN,,2025-12-01
MS,,,0.0,DN,,2025-12-01
MSFT,,,0.0,DN,,2025-12-01
MUR,,,0.0,DN,,2025-12-01
NEE,,,0.0,DN,,2025-12-01
NEM,,,0.0,DN,,2025-12-01
NKE,,,0.0,DN,,2025-12-01
NOC,,,0.0,DN,,2025-12-01
NVDA,,,0.0,DN,,2025-12-01
OXY,,,0.0,DN,,2025-12-01
PEG,,,0.0,DN,,2025-12-01
PEP,,,0.0,DN,,2025-12-01
PFE,,,0.0,DN,,2025-12-01
PG,,,0.0,DN,,2025-12-01
PM,,,0.0,DN,,2025-12-01
PPL,,,0.0,DN,,2025-12-01
PSX,,,0.0,DN,,2025-12-01
RCL,,,0.0,DN,,2025-12-01
REGN,,,0.0,DN,,2025-12-01
RTX,,,0.0,DN,,2025-12-01
SCCO,,,0.0,DN,,2025-12-01
SCHW,,,0.0,DN,,2025-12-01
SLB,,,0.0,DN,,2025-12-01
SO,,,0.0,DN,,2025-12-01
SPGI,,,0.11317038612758856,DN,,2025-12-01
T,,,0.030375330824592973,DN,,2025-12-01
TJX,,,0.028800813470621967,DN,,2025-12-01
TSLA,,,0.05237795432027273,DN,,2025-12-01
ULTA,,,0.0,DN,,2025-12-01
UNH,,,0.0,DN,,2025-12-01
VRTX,,,0.0,DN,,2025-12-01
VZ,,,0.0,DN,,2025-12-01
WEC,,,0.0,DN,,2025-12-01
WFC,,,0.0,DN,,2025-12-01
WMT,,,0.0,DN,,2025-12-01
XOM,,,0.02398493915166472,DN,116.66000366210938,2025-12-01
AA,,,0.0,DN,,2025-12-02
AAPL,,,0.015611935317772125,DN,,2025-12-02
ABBV,,,0.0,DN,,2025-12-02
