ticker,MAE (%),Median Error (%),Std Dev,Max Error (%),Accuracy,Avg Conf,Señales
JNJ,3.17,2.52,3.24,38.65,0.53,3.65,1480
WMT,4.07,3.0,4.2,45.59,0.44,3.87,1480
SPY,4.58,3.5,5.6,95.7,0.41,3.69,1480
CVX,4.84,3.67,5.15,87.99,0.57,3.86,1480
XOM,5.27,4.14,4.66,39.06,0.53,3.57,1477
MS,5.46,3.99,5.05,46.41,0.52,3.52,1480
AAPL,5.64,4.34,5.88,81.51,0.48,3.73,1480
AMZN,5.85,4.37,5.51,47.23,0.52,3.48,1480
JPM,6.0,4.57,6.29,85.66,0.47,3.64,1480
MSFT,8.19,7.34,6.82,98.87,0.43,2.68,1480
IWM,8.71,8.29,5.55,42.98,0.49,2.48,1480
PFE,8.77,6.66,27.62,632.5,0.5,3.04,1480
AMD,8.95,7.06,8.35,104.89,0.5,3.61,1480
NVDA,10.1,8.21,8.63,85.36,0.54,2.8,1480
CAT,10.2,9.25,7.32,81.76,0.48,2.88,1480
QQQ,10.67,10.76,5.23,47.71,0.42,2.49,1480
GS,11.17,10.69,7.08,78.42,0.45,2.89,1480
TSLA,13.77,11.1,12.33,95.95,0.51,2.82,1480
