date,safe_to_trade,risk_level,alerts_count,alerts
2025-01-01,True,LOW,0,✅ Safe to trade
2025-01-02,True,LOW,0,✅ Safe to trade
2025-01-03,True,LOW,0,✅ Safe to trade
2025-01-04,True,LOW,0,✅ Safe to trade
2025-01-05,True,LOW,0,✅ Safe to trade
2025-01-06,True,LOW,0,✅ Safe to trade
2025-01-07,True,LOW,0,✅ Safe to trade
2025-01-08,True,LOW,0,✅ Safe to trade
2025-01-09,True,LOW,0,✅ Safe to trade
2025-01-10,True,LOW,0,✅ Safe to trade
2025-01-11,True,LOW,0,✅ Safe to trade
2025-01-12,True,LOW,0,✅ Safe to trade
2025-01-13,True,LOW,0,✅ Safe to trade
2025-01-14,True,LOW,0,✅ Safe to trade
2025-01-15,True,MEDIUM,1,📊 EARNINGS SEASON: 2025-01-15 → 2025-02-15
2025-01-16,True,MEDIUM,1,📊 EARNINGS SEASON: 2025-01-15 → 2025-02-15
2025-01-17,True,MEDIUM,1,📊 EARNINGS SEASON: 2025-01-15 → 2025-02-15
2025-01-18,True,MEDIUM,1,📊 EARNINGS SEASON: 2025-01-15 → 2025-02-15
2025-01-19,True,MEDIUM,1,📊 EARNINGS SEASON: 2025-01-15 → 2025-02-15
2025-01-20,True,MEDIUM,1,📊 EARNINGS SEASON: 2025-01-15 → 2025-02-15
2025-01-21,True,MEDIUM,1,📊 EARNINGS SEASON: 2025-01-15 → 2025-02-15
2025-01-22,True,MEDIUM,1,📊 EARNINGS SEASON: 2025-01-15 → 2025-02-15
2025-01-23,True,MEDIUM,1,📊 EARNINGS SEASON: 2025-01-15 → 2025-02-15
2025-01-24,True,MEDIUM,1,📊 EARNINGS SEASON: 2025-01-15 → 2025-02-15
2025-01-25,True,MEDIUM,1,📊 EARNINGS SEASON: 2025-01-15 → 2025-02-15
2025-01-26,True,MEDIUM,1,📊 EARNINGS SEASON: 2025-01-15 → 2025-02-15
2025-01-27,False,CRITICAL,2,⚠️  FOMC Meeting: 2025-01-29 (±2 días) | 📊 EARNINGS SEASON: 2025-01-15 → 2025-02-15
2025-01-28,False,CRITICAL,2,⚠️  FOMC Meeting: 2025-01-29 (±2 días) | 📊 EARNINGS SEASON: 2025-01-15 → 2025-02-15
2025-01-29,False,CRITICAL,2,⚠️  FOMC Meeting: 2025-01-29 (±2 días) | 📊 EARNINGS SEASON: 2025-01-15 → 2025-02-15
2025-01-30,False,CRITICAL,2,⚠️  FOMC Meeting: 2025-01-29 (±2 días) | 📊 EARNINGS SEASON: 2025-01-15 → 2025-02-15
2025-01-31,False,CRITICAL,2,⚠️  FOMC Meeting: 2025-01-29 (±2 días) | 📊 EARNINGS SEASON: 2025-01-15 → 2025-02-15
2025-02-01,True,MEDIUM,1,📊 EARNINGS SEASON: 2025-01-15 → 2025-02-15
2025-02-02,True,MEDIUM,1,📊 EARNINGS SEASON: 2025-01-15 → 2025-02-15
2025-02-03,True,MEDIUM,1,📊 EARNINGS SEASON: 2025-01-15 → 2025-02-15
2025-02-04,True,MEDIUM,1,📊 EARNINGS SEASON: 2025-01-15 → 2025-02-15
2025-02-05,True,MEDIUM,1,📊 EARNINGS SEASON: 2025-01-15 → 2025-02-15
2025-02-06,True,MEDIUM,1,📊 EARNINGS SEASON: 2025-01-15 → 2025-02-15
2025-02-07,True,MEDIUM,1,📊 EARNINGS SEASON: 2025-01-15 → 2025-02-15
2025-02-08,True,MEDIUM,1,📊 EARNINGS SEASON: 2025-01-15 → 2025-02-15
2025-02-09,True,MEDIUM,1,📊 EARNINGS SEASON: 2025-01-15 → 2025-02-15
2025-02-10,True,MEDIUM,1,📊 EARNINGS SEASON: 2025-01-15 → 2025-02-15
2025-02-11,True,MEDIUM,1,📊 EARNINGS SEASON: 2025-01-15 → 2025-02-15
2025-02-12,True,MEDIUM,1,📊 EARNINGS SEASON: 2025-01-15 → 2025-02-15
2025-02-13,True,MEDIUM,1,📊 EARNINGS SEASON: 2025-01-15 → 2025-02-15
2025-02-14,True,MEDIUM,1,📊 EARNINGS SEASON: 2025-01-15 → 2025-02-15
2025-02-15,True,MEDIUM,1,📊 EARNINGS SEASON: 2025-01-15 → 2025-02-15
2025-02-16,True,LOW,0,✅ Safe to trade
2025-02-17,True,LOW,0,✅ Safe to trade
2025-02-18,True,LOW,0,✅ Safe to trade
2025-02-19,True,LOW,0,✅ Safe to trade
2025-02-20,True,LOW,0,✅ Safe to trade
2025-02-21,True,LOW,0,✅ Safe to trade
2025-02-22,True,LOW,0,✅ Safe to trade
2025-02-23,True,LOW,0,✅ Safe to trade
2025-02-24,True,LOW,0,✅ Safe to trade
2025-02-25,True,LOW,0,✅ Safe to trade
2025-02-26,True,LOW,0,✅ Safe to trade
2025-02-27,True,LOW,0,✅ Safe to trade
2025-02-28,True,LOW,0,✅ Safe to trade
2025-03-01,True,LOW,0,✅ Safe to trade
2025-03-02,True,LOW,0,✅ Safe to trade
2025-03-03,True,LOW,0,✅ Safe to trade
2025-03-04,True,LOW,0,✅ Safe to trade
2025-03-05,True,LOW,0,✅ Safe to trade
2025-03-06,True,LOW,0,✅ Safe to trade
2025-03-07,True,LOW,0,✅ Safe to trade
2025-03-08,True,LOW,0,✅ Safe to trade
2025-03-09,True,LOW,0,✅ Safe to trade
2025-03-10,True,MEDIUM,1,⚡ MARKET GAP: -2.66% (threshold 2%)
2025-03-11,True,LOW,0,✅ Safe to trade
2025-03-12,True,LOW,0,✅ Safe to trade
2025-03-13,True,LOW,0,✅ Safe to trade
2025-03-14,True,MEDIUM,1,⚡ MARKET GAP: +2.07% (threshold 2%)
2025-03-15,True,LOW,0,✅ Safe to trade
2025-03-16,True,LOW,0,✅ Safe to trade
2025-03-17,False,HIGH,1,⚠️  FOMC Meeting: 2025-03-19 (±2 días)
2025-03-18,False,HIGH,1,⚠️  FOMC Meeting: 2025-03-19 (±2 días)
2025-03-19,False,HIGH,1,⚠️  FOMC Meeting: 2025-03-19 (±2 días)
2025-03-20,False,HIGH,1,⚠️  FOMC Meeting: 2025-03-19 (±2 días)
2025-03-21,False,HIGH,1,⚠️  FOMC Meeting: 2025-03-19 (±2 días)
2025-03-22,True,LOW,0,✅ Safe to trade
2025-03-23,True,LOW,0,✅ Safe to trade
2025-03-24,True,LOW,0,✅ Safe to trade
2025-03-25,True,LOW,0,✅ Safe to trade
2025-03-26,True,LOW,0,✅ Safe to trade
2025-03-27,True,LOW,0,✅ Safe to trade
